angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[498, 177, 265, 347]",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"[499, 182, 256, 334]",0.0,0.0,0.0,0.99,0.01,0.0
0.0,"[499, 184, 258, 335]",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"[496, 179, 259, 338]",0.0,0.0,0.0,0.99,0.0,0.0
0.01,"[487, 169, 257, 343]",0.0,0.0,0.0,0.99,0.01,0.0
0.01,"[490, 176, 266, 346]",0.0,0.0,0.01,0.96,0.01,0.0
0.0,"[489, 172, 277, 358]",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"[490, 194, 255, 332]",0.0,0.0,0.01,0.97,0.02,0.0
0.01,"[490, 208, 249, 325]",0.0,0.01,0.0,0.75,0.23,0.0
0.01,"[492, 203, 253, 333]",0.0,0.0,0.0,0.97,0.02,0.0
0.01,"[494, 200, 255, 332]",0.0,0.0,0.02,0.94,0.02,0.0
0.01,"[498, 189, 263, 344]",0.0,0.0,0.0,0.97,0.02,0.0
0.01,"[496, 201, 258, 332]",0.0,0.0,0.0,0.96,0.03,0.0
0.02,"[498, 195, 262, 343]",0.0,0.0,0.0,0.93,0.05,0.0
0.0,"[494, 182, 268, 353]",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"[496, 183, 269, 352]",0.0,0.0,0.0,0.98,0.02,0.0
0.01,"[512, 156, 309, 404]",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"[480, 153, 325, 427]",0.0,0.0,0.01,0.97,0.01,0.0
0.02,"[442, 207, 265, 354]",0.0,0.0,0.01,0.94,0.03,0.0
0.04,"[432, 272, 247, 322]",0.0,0.01,0.0,0.83,0.12,0.0
0.05,"[455, 286, 244, 317]",0.01,0.01,0.0,0.89,0.05,0.0
0.02,"[483, 263, 254, 338]",0.0,0.0,0.01,0.94,0.03,0.0
0.02,"[506, 296, 262, 342]",0.0,0.0,0.01,0.93,0.04,0.0
